round_id,model,round_name,source,pub_date,end_date,ticker,weight
1,chatgpt,ChatGPT Start 2024,Finbold,2024-01-15,2024-04-01,MSFT,0.2
1,chatgpt,ChatGPT Start 2024,Finbold,2024-01-15,2024-04-01,ZM,0.2
1,chatgpt,ChatGPT Start 2024,Finbold,2024-01-15,2024-04-01,SHOP,0.2
1,chatgpt,ChatGPT Start 2024,Finbold,2024-01-15,2024-04-01,NVDA,0.2
1,chatgpt,ChatGPT Start 2024,Finbold,2024-01-15,2024-04-01,PFE,0.2
2,chatgpt,ChatGPT Spring 2024,Finbold,2024-04-01,2024-07-01,MSFT,0.2
2,chatgpt,ChatGPT Spring 2024,Finbold,2024-04-01,2024-07-01,AMZN,0.2
2,chatgpt,ChatGPT Spring 2024,Finbold,2024-04-01,2024-07-01,NVDA,0.2
2,chatgpt,ChatGPT Spring 2024,Finbold,2024-04-01,2024-07-01,GOOGL,0.2
2,chatgpt,ChatGPT Spring 2024,Finbold,2024-04-01,2024-07-01,AAPL,0.2
3,chatgpt,ChatGPT H2 2024,Finbold,2024-07-01,2024-12-31,NVDA,0.2
3,chatgpt,ChatGPT H2 2024,Finbold,2024-07-01,2024-12-31,AMZN,0.2
3,chatgpt,ChatGPT H2 2024,Finbold,2024-07-01,2024-12-31,LLY,0.2
3,chatgpt,ChatGPT H2 2024,Finbold,2024-07-01,2024-12-31,MSFT,0.2
3,chatgpt,ChatGPT H2 2024,Finbold,2024-07-01,2024-12-31,TSLA,0.2
4,chatgpt,ChatGPT $1k Portfolio 2025,Finbold,2024-12-31,2025-04-01,LLY,0.15
4,chatgpt,ChatGPT $1k Portfolio 2025,Finbold,2024-12-31,2025-04-01,NVDA,0.15
4,chatgpt,ChatGPT $1k Portfolio 2025,Finbold,2024-12-31,2025-04-01,TSLA,0.1
4,chatgpt,ChatGPT $1k Portfolio 2025,Finbold,2024-12-31,2025-04-01,SHOP,0.1
4,chatgpt,ChatGPT $1k Portfolio 2025,Finbold,2024-12-31,2025-04-01,KO,0.2
4,chatgpt,ChatGPT $1k Portfolio 2025,Finbold,2024-12-31,2025-04-01,AMZN,0.2
5,chatgpt,ChatGPT Q2 2025,Finbold,2025-04-01,2025-10-01,XOM,0.2
5,chatgpt,ChatGPT Q2 2025,Finbold,2025-04-01,2025-10-01,LLY,0.25
5,chatgpt,ChatGPT Q2 2025,Finbold,2025-04-01,2025-10-01,NVDA,0.3
5,chatgpt,ChatGPT Q2 2025,Finbold,2025-04-01,2025-10-01,AMZN,0.25
6,chatgpt,Quartz 5-AI Consensus 2025,Quartz,2025-01-01,2025-12-31,AMZN,0.2
6,chatgpt,Quartz 5-AI Consensus 2025,Quartz,2025-01-01,2025-12-31,NVDA,0.2
6,chatgpt,Quartz 5-AI Consensus 2025,Quartz,2025-01-01,2025-12-31,UNH,0.2
6,chatgpt,Quartz 5-AI Consensus 2025,Quartz,2025-01-01,2025-12-31,V,0.2
6,chatgpt,Quartz 5-AI Consensus 2025,Quartz,2025-01-01,2025-12-31,MSFT,0.2
7,chatgpt,ChatGPT $1k Portfolio 2026,Finbold,2026-01-01,2026-06-23,MSFT,0.25
7,chatgpt,ChatGPT $1k Portfolio 2026,Finbold,2026-01-01,2026-06-23,CEG,0.15
7,chatgpt,ChatGPT $1k Portfolio 2026,Finbold,2026-01-01,2026-06-23,LMT,0.15
7,chatgpt,ChatGPT $1k Portfolio 2026,Finbold,2026-01-01,2026-06-23,LLY,0.1
7,chatgpt,ChatGPT $1k Portfolio 2026,Finbold,2026-01-01,2026-06-23,NVDA,0.2
7,chatgpt,ChatGPT $1k Portfolio 2026,Finbold,2026-01-01,2026-06-23,AMZN,0.15
8,claude,Claude Allocator Top Momentum,manual,2026-06-23,2026-06-29,SNDK,0.1667
8,claude,Claude Allocator Top Momentum,manual,2026-06-23,2026-06-29,MU,0.1667
8,claude,Claude Allocator Top Momentum,manual,2026-06-23,2026-06-29,INTC,0.1667
8,claude,Claude Allocator Top Momentum,manual,2026-06-23,2026-06-29,STX,0.1667
8,claude,Claude Allocator Top Momentum,manual,2026-06-23,2026-06-29,AMD,0.1667
8,claude,Claude Allocator Top Momentum,manual,2026-06-23,2026-06-29,LRCX,0.1667
9,claude,Claude Allocator Jun 2026,manual,2026-06-29,,GLW,0.1667
9,claude,Claude Allocator Jun 2026,manual,2026-06-29,,AMAT,0.1667
9,claude,Claude Allocator Jun 2026,manual,2026-06-29,,MRNA,0.1667
9,claude,Claude Allocator Jun 2026,manual,2026-06-29,,PANW,0.1667
9,claude,Claude Allocator Jun 2026,manual,2026-06-29,,FTNT,0.1667
9,claude,Claude Allocator Jun 2026,manual,2026-06-29,,LRCX,0.1667
