ticker,sector,industry,index
MMM,Industrials,Industrial Conglomerates,sp500
AOS,Industrials,Building Products,sp500
ABT,Health Care,Health Care Equipment,sp500
ABBV,Health Care,Biotechnology,sp500
ACN,Information Technology,IT Consulting & Other Services,sp500
ADBE,Information Technology,Application Software,sp500
AMD,Information Technology,Semiconductors,sp500
AES,Utilities,Independent Power Producers & Energy Traders,sp500
AFL,Financials,Life & Health Insurance,sp500
A,Health Care,Life Sciences Tools & Services,sp500
APD,Materials,Industrial Gases,sp500
ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500
AKAM,Information Technology,Internet Services & Infrastructure,sp500
ALB,Materials,Specialty Chemicals,sp500
ARE,Real Estate,Office REITs,sp500
ALGN,Health Care,Health Care Supplies,sp500
ALLE,Industrials,Building Products,sp500
LNT,Utilities,Electric Utilities,sp500
ALL,Financials,Property & Casualty Insurance,sp500
GOOGL,Communication Services,Interactive Media & Services,sp500
GOOG,Communication Services,Interactive Media & Services,sp500
MO,Consumer Staples,Tobacco,sp500
AMZN,Consumer Discretionary,Broadline Retail,sp500
AMCR,Materials,Paper & Plastic Packaging Products & Materials,sp500
AEE,Utilities,Multi-Utilities,sp500
AEP,Utilities,Electric Utilities,sp500
AXP,Financials,Consumer Finance,sp500
AIG,Financials,Multi-line Insurance,sp500
AMT,Real Estate,Telecom Tower REITs,sp500
AWK,Utilities,Water Utilities,sp500
AMP,Financials,Asset Management & Custody Banks,sp500
AME,Industrials,Electrical Components & Equipment,sp500
AMGN,Health Care,Biotechnology,sp500
APH,Information Technology,Electronic Components,sp500
ADI,Information Technology,Semiconductors,sp500
AON,Financials,Insurance Brokers,sp500
APA,Energy,Oil & Gas Exploration & Production,sp500
APO,Financials,Asset Management & Custody Banks,sp500
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",sp500
AMAT,Information Technology,Semiconductor Materials & Equipment,sp500
APP,Information Technology,Application Software,sp500
APTV,Consumer Discretionary,Automotive Parts & Equipment,sp500
ACGL,Financials,Property & Casualty Insurance,sp500
ADM,Consumer Staples,Agricultural Products & Services,sp500
ARES,Financials,Asset Management & Custody Banks,sp500
ANET,Information Technology,Communications Equipment,sp500
AJG,Financials,Insurance Brokers,sp500
AIZ,Financials,Multi-line Insurance,sp500
T,Communication Services,Integrated Telecommunication Services,sp500
ATO,Utilities,Gas Utilities,sp500
ADSK,Information Technology,Application Software,sp500
ADP,Industrials,Human Resource & Employment Services,sp500
AZO,Consumer Discretionary,Automotive Retail,sp500
AVB,Real Estate,Multi-Family Residential REITs,sp500
AVY,Materials,Paper & Plastic Packaging Products & Materials,sp500
AXON,Industrials,Aerospace & Defense,sp500
BKR,Energy,Oil & Gas Equipment & Services,sp500
BALL,Materials,"Metal, Glass & Plastic Containers",sp500
BAC,Financials,Diversified Banks,sp500
BAX,Health Care,Health Care Equipment,sp500
BDX,Health Care,Health Care Equipment,sp500
BRK-B,Financials,Multi-Sector Holdings,sp500
BBY,Consumer Discretionary,Computer & Electronics Retail,sp500
TECH,Health Care,Life Sciences Tools & Services,sp500
BIIB,Health Care,Biotechnology,sp500
BLK,Financials,Asset Management & Custody Banks,sp500
BX,Financials,Asset Management & Custody Banks,sp500
XYZ,Financials,Transaction & Payment Processing Services,sp500
BNY,Financials,Asset Management & Custody Banks,sp500
BA,Industrials,Aerospace & Defense,sp500
BKNG,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500
BSX,Health Care,Health Care Equipment,sp500
BMY,Health Care,Pharmaceuticals,sp500
AVGO,Information Technology,Semiconductors,sp500
BR,Industrials,Data Processing & Outsourced Services,sp500
BRO,Financials,Insurance Brokers,sp500
BF-B,Consumer Staples,Distillers & Vintners,sp500
BLDR,Industrials,Building Products,sp500
BG,Consumer Staples,Agricultural Products & Services,sp500
BXP,Real Estate,Office REITs,sp500
CHRW,Industrials,Air Freight & Logistics,sp500
CDNS,Information Technology,Application Software,sp500
CPT,Real Estate,Multi-Family Residential REITs,sp500
COF,Financials,Consumer Finance,sp500
CAH,Health Care,Health Care Distributors,sp500
CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500
CARR,Industrials,Building Products,sp500
CVNA,Consumer Discretionary,Automotive Retail,sp500
CASY,Consumer Staples,Food Retail,sp500
CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,sp500
CBOE,Financials,Financial Exchanges & Data,sp500
CBRE,Real Estate,Real Estate Services,sp500
CDW,Information Technology,Technology Distributors,sp500
COR,Health Care,Health Care Distributors,sp500
CNC,Health Care,Managed Health Care,sp500
CNP,Utilities,Multi-Utilities,sp500
CF,Materials,Fertilizers & Agricultural Chemicals,sp500
CRL,Health Care,Life Sciences Tools & Services,sp500
SCHW,Financials,Investment Banking & Brokerage,sp500
CHTR,Communication Services,Cable & Satellite,sp500
CVX,Energy,Integrated Oil & Gas,sp500
CMG,Consumer Discretionary,Restaurants,sp500
CB,Financials,Property & Casualty Insurance,sp500
CHD,Consumer Staples,Household Products,sp500
CIEN,Information Technology,Communications Equipment,sp500
CI,Health Care,Health Care Services,sp500
CINF,Financials,Property & Casualty Insurance,sp500
CTAS,Industrials,Diversified Support Services,sp500
CSCO,Information Technology,Communications Equipment,sp500
C,Financials,Diversified Banks,sp500
CFG,Financials,Regional Banks,sp500
CLX,Consumer Staples,Household Products,sp500
CME,Financials,Financial Exchanges & Data,sp500
CMS,Utilities,Multi-Utilities,sp500
KO,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,sp500
CTSH,Information Technology,IT Consulting & Other Services,sp500
COHR,Information Technology,Electronic Components,sp500
COIN,Financials,Financial Exchanges & Data,sp500
CL,Consumer Staples,Household Products,sp500
CMCSA,Communication Services,Cable & Satellite,sp500
FIX,Industrials,Construction & Engineering,sp500
CAG,Consumer Staples,Packaged Foods & Meats,sp500
COP,Energy,Oil & Gas Exploration & Production,sp500
ED,Utilities,Multi-Utilities,sp500
STZ,Consumer Staples,Distillers & Vintners,sp500
CEG,Utilities,Electric Utilities,sp500
COO,Health Care,Health Care Supplies,sp500
CPRT,Industrials,Diversified Support Services,sp500
GLW,Information Technology,Electronic Components,sp500
CPAY,Financials,Transaction & Payment Processing Services,sp500
CTVA,Materials,Fertilizers & Agricultural Chemicals,sp500
CSGP,Real Estate,Real Estate Services,sp500
COST,Consumer Staples,Consumer Staples Merchandise Retail,sp500
CRH,Materials,Construction Materials,sp500
CRWD,Information Technology,Systems Software,sp500
CCI,Real Estate,Telecom Tower REITs,sp500
CSX,Industrials,Rail Transportation,sp500
CMI,Industrials,Construction Machinery & Heavy Transportation Equipment,sp500
CVS,Health Care,Health Care Services,sp500
DHR,Health Care,Life Sciences Tools & Services,sp500
DRI,Consumer Discretionary,Restaurants,sp500
DDOG,Information Technology,Application Software,sp500
DVA,Health Care,Health Care Services,sp500
DECK,Consumer Discretionary,Footwear,sp500
DE,Industrials,Agricultural & Farm Machinery,sp500
DELL,Information Technology,"Technology Hardware, Storage & Peripherals",sp500
DAL,Industrials,Passenger Airlines,sp500
DVN,Energy,Oil & Gas Exploration & Production,sp500
DXCM,Health Care,Health Care Equipment,sp500
FANG,Energy,Oil & Gas Exploration & Production,sp500
DLR,Real Estate,Data Center REITs,sp500
DG,Consumer Staples,Consumer Staples Merchandise Retail,sp500
DLTR,Consumer Staples,Consumer Staples Merchandise Retail,sp500
D,Utilities,Multi-Utilities,sp500
DPZ,Consumer Discretionary,Restaurants,sp500
DASH,Consumer Discretionary,Specialized Consumer Services,sp500
DOV,Industrials,Industrial Machinery & Supplies & Components,sp500
DOW,Materials,Commodity Chemicals,sp500
DHI,Consumer Discretionary,Homebuilding,sp500
DTE,Utilities,Multi-Utilities,sp500
DUK,Utilities,Electric Utilities,sp500
DD,Materials,Specialty Chemicals,sp500
ETN,Industrials,Electrical Components & Equipment,sp500
EBAY,Consumer Discretionary,Broadline Retail,sp500
ECHO,Communication Services,Wireless Telecommunication Services,sp500
ECL,Materials,Specialty Chemicals,sp500
EIX,Utilities,Electric Utilities,sp500
EW,Health Care,Health Care Equipment,sp500
EA,Communication Services,Interactive Home Entertainment,sp500
ELV,Health Care,Managed Health Care,sp500
EME,Industrials,Construction & Engineering,sp500
EMR,Industrials,Electrical Components & Equipment,sp500
ETR,Utilities,Electric Utilities,sp500
EOG,Energy,Oil & Gas Exploration & Production,sp500
EQT,Energy,Oil & Gas Exploration & Production,sp500
EFX,Industrials,Research & Consulting Services,sp500
EQIX,Real Estate,Data Center REITs,sp500
EQR,Real Estate,Multi-Family Residential REITs,sp500
ERIE,Financials,Insurance Brokers,sp500
ESS,Real Estate,Multi-Family Residential REITs,sp500
EL,Consumer Staples,Personal Care Products,sp500
EG,Financials,Reinsurance,sp500
EVRG,Utilities,Electric Utilities,sp500
ES,Utilities,Electric Utilities,sp500
EXC,Utilities,Electric Utilities,sp500
EXE,Energy,Oil & Gas Exploration & Production,sp500
EXPE,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500
EXPD,Industrials,Air Freight & Logistics,sp500
EXR,Real Estate,Self-Storage REITs,sp500
XOM,Energy,Integrated Oil & Gas,sp500
FFIV,Information Technology,Communications Equipment,sp500
FDS,Financials,Financial Exchanges & Data,sp500
FICO,Information Technology,Application Software,sp500
FAST,Industrials,Trading Companies & Distributors,sp500
FRT,Real Estate,Retail REITs,sp500
FDX,Industrials,Air Freight & Logistics,sp500
FDXF,Industrials,Cargo Ground Transportation,sp500
FIS,Financials,Transaction & Payment Processing Services,sp500
FITB,Financials,Regional Banks,sp500
FSLR,Information Technology,Semiconductors,sp500
FE,Utilities,Electric Utilities,sp500
FISV,Financials,Transaction & Payment Processing Services,sp500
FLEX,Information Technology,Electronic Manufacturing Services,sp500
F,Consumer Discretionary,Automobile Manufacturers,sp500
FTNT,Information Technology,Systems Software,sp500
FTV,Industrials,Industrial Machinery & Supplies & Components,sp500
FOXA,Communication Services,Broadcasting,sp500
FOX,Communication Services,Broadcasting,sp500
BEN,Financials,Asset Management & Custody Banks,sp500
FCX,Materials,Copper,sp500
GRMN,Consumer Discretionary,Consumer Electronics,sp500
IT,Information Technology,IT Consulting & Other Services,sp500
GE,Industrials,Aerospace & Defense,sp500
GEHC,Health Care,Health Care Equipment,sp500
GEV,Industrials,Heavy Electrical Equipment,sp500
GEN,Information Technology,Systems Software,sp500
GNRC,Industrials,Electrical Components & Equipment,sp500
GD,Industrials,Aerospace & Defense,sp500
